TITLE "Generated by Foundry::LUT"
LUT_3D_SIZE 32
0.703125 0.488037 0.000000
0.736816 0.488037 0.000000
0.771484 0.488037 0.000000
0.805664 0.488037 0.000000
0.839844 0.488037 0.000000
0.874023 0.488037 0.000000
0.907715 0.488037 0.000000
0.940430 0.488037 0.000000
0.972168 0.488037 0.000000
1.000000 0.488037 0.000000
0.000000 0.522949 0.000000
0.014786 0.522949 0.000000
0.038849 0.522949 0.000000
0.066589 0.522949 0.000000
0.096863 0.522949 0.000000
0.128540 0.522949 0.000000
0.160767 0.522949 0.000000
0.193237 0.522949 0.000000
0.226929 0.522949 0.000000
0.260986 0.522949 0.000000
0.295166 0.522949 0.000000
0.328857 0.522949 0.000000
0.362793 0.522949 0.000000
0.397705 0.522949 0.000000
0.432373 0.522949 0.000000
0.466309 0.522949 0.000000
0.499756 0.522949 0.000000
0.533203 0.522949 0.000000
0.566895 0.522949 0.000000
0.600586 0.522949 0.000000
0.634766 0.522949 0.000000
0.668945 0.522949 0.000000
0.703125 0.522949 0.000000
0.736816 0.522949 0.000000
0.771484 0.522949 0.000000
0.805664 0.522949 0.000000
0.839844 0.522949 0.000000
0.874023 0.522949 0.000000
0.907715 0.522949 0.000000
0.940430 0.522949 0.000000
0.972168 0.522949 0.000000
1.000000 0.522949 0.000000
0.000000 0.558105 0.000000
0.014786 0.558105 0.000000
0.038849 0.558105 0.000000
0.066589 0.558105 0.000000
0.096863 0.558105 0.000000
0.128540 0.558105 0.000000
0.160767 0.558105 0.000000
0.193237 0.558105 0.000000
0.226929 0.558105 0.000000
0.260986 0.558105 0.000000
0.295166 0.558105 0.000000
0.328857 0.558105 0.000000
0.362793 0.558105 0.000000
0.397705 0.558105 0.000000
0.432373 0.558105 0.000000
0.466309 0.558105 0.000000
0.499756 0.558105 0.000000
0.533203 0.558105 0.000000
0.566895 0.558105 0.000000
0.600586 0.558105 0.000000
0.634766 0.558105 0.000000
0.668945 0.558105 0.000000
0.703125 0.558105 0.000000
0.736816 0.558105 0.000000
0.771484 0.558105 0.000000
0.805664 0.558105 0.000000
0.839844 0.558105 0.000000
0.874023 0.558105 0.000000
0.907715 0.558105 0.000000
0.940430 0.558105 0.000000
0.972168 0.558105 0.000000
1.000000 0.558105 0.000000
0.000000 0.592773 0.000000
0.014786 0.592773 0.000000
0.038849 0.592773 0.000000
0.066589 0.592773 0.000000
0.096863 0.592773 0.000000
0.128540 0.592773 0.000000
0.160767 0.592773 0.000000
0.193237 0.592773 0.000000
0.226929 0.592773 0.000000
0.260986 0.592773 0.000000
0.295166 0.592773 0.000000
0.328857 0.592773 0.000000
0.362793 0.592773 0.000000
0.397705 0.592773 0.000000
0.432373 0.592773 0.000000
0.466309 0.592773 0.000000
0.499756 0.592773 0.000000
0.533203 0.592773 0.000000
0.566895 0.592773 0.000000
0.600586 0.592773 0.000000
0.634766 0.592773 0.000000
0.668945 0.592773 0.000000
0.703125 0.592773 0.000000
0.736816 0.592773 0.000000
0.771484 0.592773 0.000000
0.805664 0.592773 0.000000
0.839844 0.592773 0.000000
0.874023 0.592773 0.000000
0.907715 0.592773 0.000000
0.940430 0.592773 0.000000
0.972168 0.592773 0.000000
1.000000 0.592773 0.000000
0.000000 0.627930 0.000000
0.014786 0.627930 0.000000
0.038849 0.627930 0.000000
0.066589 0.627930 0.000000
0.096863 0.627930 0.000000
0.128540 0.627930 0.000000
0.160767 0.627930 0.000000
0.193237 0.627930 0.000000
0.226929 0.627930 0.000000
0.260986 0.627930 0.000000
0.295166 0.627930 0.000000
0.328857 0.627930 0.000000
0.362793 0.627930 0.000000
0.397705 0.627930 0.000000
0.432373 0.627930 0.000000
0.466309 0.627930 0.000000
0.499756 0.627930 0.000000
0.533203 0.627930 0.000000
0.566895 0.627930 0.000000
0.600586 0.627930 0.000000
0.634766 0.627930 0.000000
0.668945 0.627930 0.000000
0.703125 0.627930 0.000000
0.736816 0.627930 0.000000
0.771484 0.627930 0.000000
0.805664 0.627930 0.000000
0.839844 0.627930 0.000000
0.874023 0.627930 0.000000
0.907715 0.627930 0.000000
0.940430 0.627930 0.000000
0.972168 0.627930 0.000000
1.000000 0.627930 0.000000
0.000000 0.663086 0.000000
0.014786 0.663086 0.000000
0.038849 0.663086 0.000000
0.066589 0.663086 0.000000
0.096863 0.663086 0.000000
0.128540 0.663086 0.000000
0.160767 0.663086 0.000000
0.193237 0.663086 0.000000
0.226929 0.663086 0.000000
0.260986 0.663086 0.000000
0.295166 0.663086 0.000000
0.328857 0.663086 0.000000
0.362793 0.663086 0.000000
0.397705 0.663086 0.000000
0.432373 0.663086 0.000000
0.466309 0.663086 0.000000
0.499756 0.663086 0.000000
0.533203 0.663086 0.000000
0.566895 0.663086 0.000000
0.600586 0.663086 0.000000
0.634766 0.663086 0.000000
0.668945 0.663086 0.000000
0.703125 0.663086 0.000000
0.736816 0.663086 0.000000
0.771484 0.663086 0.000000
0.805664 0.663086 0.000000
0.839844 0.663086 0.000000
0.874023 0.663086 0.000000
0.907715 0.663086 0.000000
0.940430 0.663086 0.000000
0.972168 0.663086 0.000000
1.000000 0.663086 0.000000
0.000000 0.698242 0.000000
0.014786 0.698242 0.000000
0.038849 0.698242 0.000000
0.066589 0.698242 0.000000
0.096863 0.698242 0.000000
0.128540 0.698242 0.000000
0.160767 0.698242 0.000000
0.193237 0.698242 0.000000
